h5ad_var	index
HOXC8	543
AGA	544
PI4K2B	545
BOD1L1	546
MAT2B	547
TLL1	548
EDC4	549
TRIO	550
VCAN	551
CLEC16A	552
MSR1	553
CDH1	554
MTREX	555
DNAH5	556
ZFYVE16	557
RIPOR1	558
C6_ENSG00000039537	559
RAI14	560
SOX30	561
PNKP	562
BEST2	563
PHLPP2	564
SPDL1	565
STAU2	566
SLC66A1	567
CTNS	568
RTN4R	569
PHF23	570
CDH10	571
INPP4A	572
RAB27B	573
PSMA4	574
MYO16	575
LSG1	576
PARP3	577
TNC	578
THAP3	579
RIPOR3	580
TDP1	581
AIFM2	582
SPATA7	583
MED17	584
RETSAT	585
CAPG	586
AP2S1	587
USH2A	588
ZPBP	589
TG	590
ADAM28	591
BARX2	592
DCUN1D1	593
JADE2	594
ZIC2	595
LCP2	596
TRIT1	597
ADRB1	598
GUCA2B	599
CUL7	600
CTNNA1	601
PHKA2	602
CNTLN	603
EPHA3	604
HSPA5	605
DSG2	606
GEMIN8	607
OFD1	608
GPM6B	609
PREX2	610
WDR37	611
YTHDC2	612
CTPS2	613
ATP6V1H	614
POLR2B	615
ATOSA	616
ARAP2	617
TPR	618
CP	619
KATNIP	620
DTNBP1	621
XK	622
ANO2	623
C12orf4	624
SCML1	625
WWC3	626
ARHGAP6	627
FAM184B	628
MAP4	629
GOPC	630
ROS1	631
USP28	632
HDAC9	633
TSPAN17	634
NOP16	635
CC2D2A	636
RRM2B	637
ZNF800	638
TNFRSF17	639
SNX29	640
LMO3	641
MRPS10	642
GUCA1A	643
RSF1	644
VPS13D	645
CELF2	646
FAM120A	647
R3HDM1	648
COL9A2	649
KITLG	650
ERCC8	651
ADAMTS6	652
H6PD	653
VAMP3	654
PER3	655
UTS2	656
TNFRSF9	657
EPN3	658
LTBP1	659
RCN1	660
ELN	661
RFC2	662
ARID1B	663
CLPTM1L	664
NEDD4L	665
FOXP3	666
PPP1R3F	667
HEXB	668
PTCD2	669
NEXMIF	670
JKAMP	671
DKK3	672
ARHGEF5	673
NFE2L3	674
MCUR1	675
LIMA1	676
LETMD1	677
SLC4A8	678
LAMC3	679
PTGER3	680
TNIP3	681
MAPK9	682
COL23A1	683
BCAR1	684
