gene_id	gene_name	number_of_cells_expressed
ENSG00000130764	LRRC47	1998188
ENSG00000134202	GSTM3	1998023
ENSG00000121905	HPCA	1997486
ENSG00000110080	ST3GAL4	1997247
ENSG00000101146	RAE1	1996949
ENSG00000114450	GNB4	1996787
ENSG00000189050	RNFT1	1996495
ENSG00000204231	RXRB	1996388
ENSG00000135966	TGFBRAP1	1996149
ENSG00000149654	CDH22	1995675
ENSG00000184465	WDR27	1995209
ENSG00000129055	ANAPC13	1995089
ENSG00000155380	SLC16A1	1994525
ENSG00000145545	SRD5A1	1994300
ENSG00000204316	MRPL38	1994234
ENSG00000145780	FEM1C	1993758
ENSG00000140479	PCSK6	1993358
ENSG00000009950	MLXIPL	1992173
ENSG00000127081	ZNF484	1991843
ENSG00000127463	EMC1	1991520
ENSG00000172273	HINFP	1991235
ENSG00000110200	ANAPC15	1991050
ENSG00000140548	ZNF710	1990955
ENSG00000103811	CTSH	1990944
ENSG00000103549	RNF40	1990309
ENSG00000145287	PLAC8	1989549
ENSG00000188092	GPR89B	1989485
ENSG00000163156	SCNM1	1989471
ENSG00000126768	TIMM17B	1989160
ENSG00000100865	CINP	1989042
ENSG00000102385	DRP2	1988997
ENSG00000214026	MRPL23	1988909
ENSG00000115425	PECR	1988886
ENSG00000164331	ANKRA2	1987989
ENSG00000100626	GALNT16	1987283
ENSG00000169193	CCDC126	1987246
ENSG00000141452	RMC1	1987215
ENSG00000075975	MKRN2	1987206
ENSG00000204386	NEU1	1987075
ENSG00000133316	WDR74	1987027
ENSG00000028116	VRK2	1986261
ENSG00000186635	ARAP1	1986260
ENSG00000101004	NINL	1985920
ENSG00000185808	PIGP	1985716
ENSG00000158050	DUSP2	1985654
ENSG00000147457	CHMP7	1985488
ENSG00000164535	DAGLB	1985443
ENSG00000100744	GSKIP	1985035
ENSG00000181450	ZNF678	1984771
ENSG00000072315	TRPC5	1984657
ENSG00000076662	ICAM3	1984329
ENSG00000116783	TNNI3K	1984018
ENSG00000266074	BAHCC1	1983667
ENSG00000204310	AGPAT1	1983562
ENSG00000160961	ZNF333	1983364
ENSG00000196418	ZNF124	1982892
ENSG00000015479	MATR3_ENSG00000015479	1982549
ENSG00000136379	ABHD17C	1982195
ENSG00000070087	PFN2	1981728
ENSG00000164124	TMEM144	1981491
ENSG00000143772	ITPKB	1981462
ENSG00000042088	TDP1	1981420
ENSG00000103274	NUBP1	1980361
ENSG00000121406	ZNF549	1979822
ENSG00000172366	MCRIP2	1979571
ENSG00000107438	PDLIM1	1979457
ENSG00000131669	NINJ1	1978569
ENSG00000170734	POLH	1978521
ENSG00000183475	ASB7	1978135
ENSG00000196632	WNK3	1977890
ENSG00000107201	RIGI	1977634
ENSG00000186376	ZNF75D	1977492
ENSG00000165861	ZFYVE1	1976686
ENSG00000144827	ABHD10	1976484
ENSG00000162129	CLPB	1976134
ENSG00000172725	CORO1B	1975978
ENSG00000179918	SEPHS2	1975508
ENSG00000186350	RXRA	1974733
ENSG00000162772	ATF3	1974584
ENSG00000075223	SEMA3C	1973846
ENSG00000014164	ZC3H3	1973287
ENSG00000112796	ENPP5	1973115
ENSG00000213064	SFT2D2	1972875
ENSG00000186532	SMYD4	1972777
ENSG00000143110	C1orf162	1972522
ENSG00000075618	FSCN1	1972459
ENSG00000149428	HYOU1	1972169
ENSG00000174705	SH3PXD2B	1972033
ENSG00000130962	PRRG1	1971345
ENSG00000250067	YJEFN3	1970517
ENSG00000130749	ZC3H4	1970351
ENSG00000180626	ZNF594	1970050
ENSG00000138381	ASNSD1	1970008
ENSG00000135452	TSPAN31	1969949
ENSG00000152193	OBI1	1969665
ENSG00000159348	CYB5R1	1969420
ENSG00000036672	USP2	1969303
ENSG00000125247	TMTC4	1969271
ENSG00000161013	MGAT4B	1969195
ENSG00000048392	RRM2B	1968953
ENSG00000123064	DDX54	1968474
ENSG00000182870	GALNT9	1968261
ENSG00000116983	HPCAL4	1967906
ENSG00000106013	ANKRD7	1967614
ENSG00000140090	SLC24A4	1967130
ENSG00000115946	PNO1	1967086
ENSG00000117151	CTBS	1966462
ENSG00000128683	GAD1	1964850
ENSG00000104756	KCTD9	1964564
ENSG00000266967	AARSD1	1964098
ENSG00000148335	NTMT1	1962987
ENSG00000168772	CXXC4	1962164
ENSG00000139719	VPS33A	1961846
ENSG00000130826	DKC1	1961468
ENSG00000135446	CDK4	1961353
ENSG00000134077	THUMPD3	1961167
ENSG00000119616	FCF1	1960866
ENSG00000177963	RIC8A	1960847
ENSG00000089818	NECAP1	1960717
ENSG00000177425	PAWR	1960578
ENSG00000269743	SLC25A53	1960498
ENSG00000186918	ZNF395	1960415
ENSG00000136026	CKAP4	1960127
ENSG00000169181	GSG1L	1960073
ENSG00000112031	MTRF1L	1959380
ENSG00000082213	C5orf22	1959277
ENSG00000124659	TBCC	1958956
ENSG00000162645	GBP2	1958613
ENSG00000182326	C1S	1957890
ENSG00000141293	SKAP1	1957761
ENSG00000101400	SNTA1	1957547
ENSG00000111667	USP5	1957489
ENSG00000147168	IL2RG	1956485
ENSG00000099904	ZDHHC8	1956451
ENSG00000154719	MRPL39	1956278
ENSG00000172031	EPHX4	1956192
ENSG00000188706	ZDHHC9	1956058
ENSG00000137193	PIM1	1955723
ENSG00000188033	ZNF490	1955423
ENSG00000117153	KLHL12	1955167
ENSG00000144655	CSRNP1	1955102
ENSG00000119431	HDHD3	1954985
ENSG00000162188	GNG3	1954963
ENSG00000159214	CCDC24	1954234
ENSG00000081138	CDH7	1954095
ENSG00000106397	PLOD3	1953466
ENSG00000188986	NELFB	1953179
ENSG00000197140	ADAM32	1952953
ENSG00000137103	TMEM8B	1952556
ENSG00000084652	TXLNA	1952471
ENSG00000105357	MYH14	1951964
ENSG00000189060	H1-0	1951935
ENSG00000070814	TCOF1	1951878
ENSG00000152056	AP1S3	1951814
ENSG00000171992	SYNPO	1951785
ENSG00000047648	ARHGAP6	1951728
ENSG00000174136	RGMB	1951692
ENSG00000138738	PRDM5	1951402
ENSG00000171608	PIK3CD	1951146
ENSG00000158793	NIT1	1951020
ENSG00000107672	NSMCE4A	1950329
ENSG00000120049	KCNIP2	1949776
ENSG00000167397	VKORC1	1949520
ENSG00000135521	LTV1	1949461
ENSG00000219481	NBPF1	1949365
ENSG00000119446	RBM18	1949110
ENSG00000170903	MSANTD4	1948903
ENSG00000156709	AIFM1	1948383
ENSG00000180008	SOCS4	1948173
ENSG00000114646	CSPG5	1948165
ENSG00000006062	MAP3K14	1947908
ENSG00000136710	CCDC115	1947433
ENSG00000132837	DMGDH	1947323
ENSG00000167528	ZNF641	1946923
ENSG00000173227	SYT12	1946694
ENSG00000165782	PIP4P1	1946654
ENSG00000116128	BCL9	1946393
ENSG00000175467	SART1	1946346
ENSG00000155265	GOLGA7B	1946246
ENSG00000128335	APOL2	1946110
ENSG00000118257	NRP2	1945712
ENSG00000148308	GTF3C5	1945623
ENSG00000182636	NDN	1945438
ENSG00000123131	PRDX4	1945382
ENSG00000104774	MAN2B1	1944883
ENSG00000011332	DPF1	1944228
ENSG00000176018	LYSMD3	1943984
ENSG00000049239	H6PD	1943924
ENSG00000127334	DYRK2	1943552
ENSG00000143514	TP53BP2	1942597
ENSG00000198915	RASGEF1A	1941947
ENSG00000102271	KLHL4	1941735
ENSG00000179051	RCC2	1940996
ENSG00000060718	COL11A1	1940402
ENSG00000105483	CARD8	1940320
ENSG00000171004	HS6ST2	1940296
ENSG00000184500	PROS1	1940163
ENSG00000178149	DALRD3	1940157
ENSG00000274523	RCC1L	1939968
ENSG00000235162	C12orf75	1939141
ENSG00000221926	TRIM16	1938991
ENSG00000046647	GEMIN8	1938941
ENSG00000154813	DPH3	1938587
ENSG00000198440	ZNF583	1938476
ENSG00000204131	NHSL2	1938146
ENSG00000139233	LLPH	1938085
ENSG00000007255	TRAPPC6A	1938021
ENSG00000104722	NEFM	1937653
ENSG00000038210	PI4K2B	1937628
ENSG00000185753	CXorf38	1937282
ENSG00000145022	TCTA	1937196
ENSG00000136877	FPGS	1937194
ENSG00000072506	HSD17B10	1936622
ENSG00000171488	LRRC8C	1936548
ENSG00000133315	MACROD1	1936413
ENSG00000151458	ANKRD50	1935909
ENSG00000187210	GCNT1	1935701
ENSG00000214029	ZNF891	1935563
ENSG00000167693	NXN	1935535
ENSG00000158941	CCAR2	1935440
ENSG00000100106	TRIOBP	1935338
ENSG00000111907	TPD52L1	1935169
ENSG00000089847	ANKRD24	1935065
ENSG00000063176	SPHK2	1934897
ENSG00000198520	ARMH1	1933829
ENSG00000145194	ECE2	1933724
ENSG00000102699	PARP4	1933567
ENSG00000241360	PDXP	1933299
ENSG00000203778	FAM229B	1932983
ENSG00000088992	TESC	1932981
ENSG00000107819	SFXN3	1932913
ENSG00000174233	ADCY6	1932800
ENSG00000129990	SYT5	1932782
ENSG00000127561	SYNGR3	1932721
ENSG00000169682	SPNS1	1932454
ENSG00000130287	NCAN	1932350
ENSG00000143537	ADAM15	1931880
ENSG00000147789	ZNF7	1931708
ENSG00000182240	BACE2	1931171
ENSG00000158717	RNF166	1931006
ENSG00000196214	ZNF766	1930764
ENSG00000168918	INPP5D	1930749
ENSG00000100433	KCNK10	1930714
ENSG00000145088	EAF2	1930568
ENSG00000188211	NCR3LG1	1930545
ENSG00000160201	U2AF1	1930462
ENSG00000001036	FUCA2	1930318
ENSG00000155324	GRAMD2B	1929916
ENSG00000128833	MYO5C	1929448
ENSG00000054277	OPN3	1929281
ENSG00000154548	SRSF12	1929076
ENSG00000156990	RPUSD3	1928975
ENSG00000112144	CILK1	1928918
ENSG00000067646	ZFY	1928498
ENSG00000173451	THAP2	1928478
ENSG00000285713	ENSG00000285713.1	1928238
ENSG00000204920	ZNF155	1928158
ENSG00000134910	STT3A	1927594
ENSG00000188316	ENO4	1926113
ENSG00000197961	ZNF121	1925898
ENSG00000118242	MREG	1925880
ENSG00000167272	POP5	1925755
ENSG00000177432	NAP1L5	1925684
ENSG00000182552	RWDD4	1925596
ENSG00000148459	PDSS1	1925350
ENSG00000101220	ADISSP	1925200
ENSG00000134824	FADS2	1924826
ENSG00000167775	CD320	1924349
ENSG00000126790	L3HYPDH	1923759
ENSG00000106683	LIMK1	1923662
ENSG00000100034	PPM1F	1923635
ENSG00000172349	IL16	1923233
ENSG00000143368	SF3B4	1922988
ENSG00000100897	DCAF11	1922943
ENSG00000116874	WARS2	1922641
ENSG00000211584	SLC48A1	1921424
ENSG00000167566	NCKAP5L	1921306
ENSG00000152104	PTPN14	1921182
ENSG00000185608	MRPL40	1920998
ENSG00000186951	PPARA	1920604
ENSG00000088256	GNA11	1920389
ENSG00000165124	SVEP1	1920382
ENSG00000139508	SLC46A3	1920173
ENSG00000125611	CHCHD5	1920093
ENSG00000173267	SNCG	1919720
ENSG00000063015	SEZ6	1919671
ENSG00000099804	CDC34	1919653
ENSG00000139200	PIANP	1919257
ENSG00000144579	CTDSP1	1919025
ENSG00000142867	BCL10	1918891
ENSG00000117480	FAAH	1918342
ENSG00000095319	NUP188	1918148
ENSG00000100483	VCPKMT	1917636
ENSG00000155034	FBXL18	1916561
ENSG00000150456	EEF1AKMT1	1916320
ENSG00000053372	MRTO4	1916045
ENSG00000204237	OXLD1	1915840
ENSG00000177868	SVBP	1915795
ENSG00000041802	LSG1	1915360
ENSG00000143819	EPHX1	1915228
ENSG00000134597	RBMX2	1915027
ENSG00000142396	ERVK3-1	1914630
ENSG00000092871	RFFL	1914556
ENSG00000153820	SPHKAP	1914316
ENSG00000171135	JAGN1	1914261
ENSG00000070778	PTPN21	1914183
ENSG00000141026	MED9	1913886
ENSG00000043462	LCP2	1913016
ENSG00000179796	LRRC3B	1912873
ENSG00000114473	IQCG	1912870
ENSG00000109832	DDX25	1912869
ENSG00000103316	CRYM	1912684
ENSG00000085415	SEH1L	1912586
ENSG00000185432	METTL7A	1912104
ENSG00000184261	KCNK12	1912068
ENSG00000184557	SOCS3	1911911
ENSG00000006634	DBF4	1911910
ENSG00000104936	DMPK	1911874
ENSG00000112759	SLC29A1	1911854
ENSG00000113356	POLR3G	1911129
ENSG00000172977	KAT5	1910853
ENSG00000176046	NUPR1	1910722
ENSG00000197362	ZNF786	1910628
ENSG00000178573	MAF	1910094
ENSG00000180448	ARHGAP45	1909808
ENSG00000123191	ATP7B	1909682
ENSG00000136158	SPRY2	1909582
ENSG00000084444	FAM234B	1909454
ENSG00000108963	DPH1	1908739
ENSG00000105963	ADAP1	1908029
ENSG00000130830	MPP1	1907607
ENSG00000167578	RAB4B	1907365
ENSG00000130881	LRP3	1906245
ENSG00000167685	ZNF444	1906167
ENSG00000140950	MEAK7	1906163
ENSG00000163818	LZTFL1	1905889
ENSG00000118046	STK11	1905784
ENSG00000155090	KLF10	1905511
ENSG00000110851	PRDM4	1905496
ENSG00000146112	PPP1R18	1905305
ENSG00000241370	RPP21	1904791
ENSG00000242616	GNG10	1904776
ENSG00000119669	IRF2BPL	1904110
ENSG00000112659	CUL9	1904088
ENSG00000197162	ZNF785	1904086
ENSG00000160714	UBE2Q1	1903856
ENSG00000147485	PXDNL	1903848
ENSG00000121680	PEX16	1903373
ENSG00000119383	PTPA	1902000
ENSG00000148229	POLE3	1901388
ENSG00000011007	ELOA	1901023
ENSG00000184144	CNTN2	1900901
ENSG00000140332	TLE3	1900117
ENSG00000217930	PAM16	1900029
ENSG00000116685	KIAA2013	1900013
ENSG00000149809	TM7SF2	1899730
ENSG00000185215	TNFAIP2	1899625
ENSG00000157224	CLDN12	1899052
ENSG00000109099	PMP22	1898635
ENSG00000173327	MAP3K11	1898533
ENSG00000185163	DDX51	1897454
ENSG00000019144	PHLDB1	1896926
ENSG00000105767	CADM4	1896799
ENSG00000148343	MIGA2	1896384
ENSG00000162407	PLPP3	1896009
ENSG00000178531	CTXN1	1895179
ENSG00000106526	ACTR3C	1894829
ENSG00000112357	PEX7	1894218
ENSG00000117479	SLC19A2	1894125
ENSG00000065534	MYLK	1893423
ENSG00000074527	NTN4	1893245
ENSG00000087111	PIGS	1892920
ENSG00000215440	NPEPL1	1892842
ENSG00000085563	ABCB1	1892743
ENSG00000108679	LGALS3BP	1891806
ENSG00000145198	VWA5B2	1891725
ENSG00000177706	FAM20C	1891415
ENSG00000186417	GLDN	1891285
ENSG00000165072	MAMDC2	1890247
ENSG00000079616	KIF22	1889469
ENSG00000163382	NAXE	1888992
ENSG00000147180	ZNF711	1888866
ENSG00000104885	DOT1L	1888521
ENSG00000243646	IL10RB	1888345
ENSG00000100601	ALKBH1	1888097
ENSG00000174652	ZNF266	1887857
ENSG00000186141	POLR3C	1887786
ENSG00000155100	OTUD6B	1887683
ENSG00000013583	HEBP1	1887616
ENSG00000178996	SNX18	1887543
ENSG00000145220	LYAR	1886340
ENSG00000138028	CGREF1	1885772
ENSG00000161642	ZNF385A	1885191
ENSG00000110583	NAA40	1885111
ENSG00000108591	DRG2	1883898
ENSG00000121380	BCL2L14	1883790
ENSG00000228300	FAM174C	1883134
ENSG00000140545	MFGE8	1882337
ENSG00000053438	NNAT	1882011
ENSG00000187608	ISG15	1881902
ENSG00000272602	ZNF595	1880840
ENSG00000155755	TMEM237	1880347
ENSG00000170291	ELP5	1880078
ENSG00000169758	TMEM266	1880008
ENSG00000130733	YIPF2	1880007
ENSG00000163900	TMEM41A	1879896
ENSG00000163297	ANTXR2	1879791
ENSG00000119203	CPSF3	1879500
ENSG00000124370	MCEE	1878485
ENSG00000196387	ZNF140	1878410
ENSG00000099194	SCD	1878112
ENSG00000125520	SLC2A4RG	1877915
ENSG00000174446	SNAPC5	1877028
ENSG00000188404	SELL	1875814
ENSG00000100226	GTPBP1	1875712
ENSG00000197019	SERTAD1	1875485
ENSG00000171793	CTPS1	1875467
ENSG00000172732	MUS81	1875030
ENSG00000182836	PLCXD3	1874845
ENSG00000078967	UBE2D4	1874717
ENSG00000197070	ARRDC1	1873802
ENSG00000169131	ZNF354A	1873192
ENSG00000071889	FAM3A	1873186
ENSG00000117481	NSUN4	1873153
ENSG00000128159	TUBGCP6	1872476
ENSG00000181215	C4orf50	1871563
ENSG00000170340	B3GNT2	1871245
ENSG00000164897	TMUB1	1871219
ENSG00000186416	NKRF	1870885
ENSG00000078596	ITM2A	1870636
ENSG00000197808	ZNF461	1870563
ENSG00000164483	SAMD3	1870548
ENSG00000124171	PARD6B	1870045
ENSG00000117620	SLC35A3	1869987
ENSG00000204427	ABHD16A	1869774
ENSG00000125744	RTN2	1869549
ENSG00000168301	KCTD6	1868386
ENSG00000105849	POLR1F	1868219
ENSG00000100564	PIGH	1867636
ENSG00000125741	OPA3	1867555
ENSG00000112592	TBP	1867496
ENSG00000242802	AP5Z1	1866692
ENSG00000165795	NDRG2	1866244
ENSG00000183337	BCOR	1866035
ENSG00000133640	LRRIQ1	1865491
ENSG00000150510	FAM124A	1865155
ENSG00000164631	ZNF12	1865139
ENSG00000104626	ERI1	1864895
ENSG00000123992	DNPEP	1864854
ENSG00000168569	TMEM223	1864575
ENSG00000095713	CRTAC1	1863406
ENSG00000104356	POP1	1863230
ENSG00000254685	FPGT	1862388
ENSG00000187790	FANCM	1862133
ENSG00000197020	ZNF100	1862046
ENSG00000187535	IFT140	1862015
ENSG00000174799	CEP135	1861603
ENSG00000167286	CD3D	1861513
ENSG00000071655	MBD3	1861338
ENSG00000139725	RHOF	1860671
ENSG00000135454	B4GALNT1	1860614
ENSG00000198876	DCAF12	1860611
ENSG00000153930	ANKFN1	1860129
ENSG00000169439	SDC2	1859687
ENSG00000130517	PGPEP1	1859105
ENSG00000107951	MTPAP	1858439
ENSG00000166105	GLB1L3	1857978
ENSG00000164309	CMYA5	1857864
ENSG00000104497	SNX16	1857246
ENSG00000108551	RASD1	1856815
ENSG00000196263	ZNF471	1856650
ENSG00000204869	IGFL4	1856262
ENSG00000114988	LMAN2L	1856090
ENSG00000185278	ZBTB37	1855719
ENSG00000137814	HAUS2	1855161
ENSG00000184924	PTRHD1	1854632
ENSG00000121864	ZNF639	1854347
ENSG00000124784	RIOK1	1853951
ENSG00000086475	SEPHS1	1853739
ENSG00000182362	YBEY	1853104
ENSG00000103460	TOX3	1852372
ENSG00000198498	TMA16	1852005
ENSG00000102468	HTR2A	1851975
ENSG00000137221	TJAP1	1851649
ENSG00000112038	OPRM1	1851585
ENSG00000167325	RRM1	1851487
ENSG00000163870	TPRA1	1851121
ENSG00000157778	PSMG3	1851064
ENSG00000162390	ACOT11	1849932
ENSG00000151445	VIPAS39	1849886
ENSG00000047230	CTPS2	1849586
ENSG00000139266	MARCHF9	1849096
ENSG00000124782	RREB1	1849069
ENSG00000099822	HCN2	1848825
ENSG00000126254	RBM42	1848725
ENSG00000183317	EPHA10	1848366
ENSG00000090971	NAT14	1848173
ENSG00000100473	COCH	1848146
ENSG00000262655	SPON1	1848062
ENSG00000125848	FLRT3	1847549
ENSG00000084636	COL16A1	1846981
ENSG00000131148	EMC8	1846579
ENSG00000164978	NUDT2	1846532
ENSG00000275832	ARHGAP23	1846293
ENSG00000136010	ALDH1L2	1846161
ENSG00000163220	S100A9	1846118
ENSG00000138642	HERC6	1846035
ENSG00000124762	CDKN1A	1845922
ENSG00000147130	ZMYM3	1845491
ENSG00000197748	CFAP43	1845268
ENSG00000159409	CELF3	1845048
ENSG00000151773	CCDC122	1844997
ENSG00000180155	LYNX1	1844390
ENSG00000145555	MYO10	1844216
ENSG00000127337	YEATS4	1843770
ENSG00000169715	MT1E	1843381
ENSG00000128228	SDF2L1	1843218
ENSG00000186517	ARHGAP30	1843097
ENSG00000134815	DHX34	1842779
ENSG00000011422	PLAUR	1842185
ENSG00000175854	SWI5	1841919
ENSG00000240682	ISY1	1841676
ENSG00000144840	RABL3	1841492
ENSG00000139318	DUSP6	1841248
ENSG00000189042	ZNF567	1841246
ENSG00000221909	FAM200A	1840614
ENSG00000162139	NEU3	1839504
ENSG00000173145	NOC3L	1839309
ENSG00000134809	TIMM10	1838511
ENSG00000135622	SEMA4F	1838453
ENSG00000099814	CEP170B	1837421
ENSG00000172247	C1QTNF4	1837326
ENSG00000187730	GABRD	1837318
ENSG00000081721	DUSP12	1837153
ENSG00000124574	ABCC10	1837009
ENSG00000006468	ETV1	1836877
ENSG00000094880	CDC23	1836776
ENSG00000117266	CDK18	1836254
ENSG00000114739	ACVR2B	1835559
ENSG00000162413	KLHL21	1834977
ENSG00000163346	PBXIP1	1834413
ENSG00000183943	PRKX	1834142
ENSG00000163053	SLC16A14	1834048
ENSG00000139517	LNX2	1833925
ENSG00000181894	ZNF329	1833924
ENSG00000083635	NUFIP1	1833731
ENSG00000137040	RANBP6	1832554
ENSG00000205238	SPDYE2	1832061
ENSG00000122481	RWDD3	1830987
ENSG00000176476	SGF29	1830276
ENSG00000136271	DDX56	1829285
ENSG00000172209	GPR22	1829026
ENSG00000186522	SEPTIN10	1828933
ENSG00000144771	LRTM1	1828913
ENSG00000162512	SDC3	1827999
ENSG00000091409	ITGA6	1827570
ENSG00000129245	FXR2	1827491
ENSG00000141101	NOB1	1827223
ENSG00000081386	ZNF510	1826966
ENSG00000187498	COL4A1	1826596
ENSG00000100296	THOC5	1826504
ENSG00000155275	TRMT44	1826363
ENSG00000176595	KBTBD11	1826278
ENSG00000103160	HSDL1	1824969
ENSG00000119328	ABITRAM	1824780
ENSG00000182481	KPNA2	1824489
ENSG00000103353	UBFD1	1824464
ENSG00000160570	DEDD2	1824079
ENSG00000153551	CMTM7	1823184
ENSG00000162341	TPCN2	1823169
ENSG00000126088	UROD	1822772
ENSG00000198910	L1CAM	1822331
ENSG00000023572	GLRX2	1821905
ENSG00000189171	S100A13	1820806
ENSG00000169598	DFFB	1820791
ENSG00000181220	ZNF746	1820386
ENSG00000183207	RUVBL2	1820193
ENSG00000149927	DOC2A	1820094
ENSG00000065717	TLE2	1819986
ENSG00000008130	NADK	1819904
ENSG00000126461	SCAF1	1819505
ENSG00000176165	FOXG1	1819489
ENSG00000121060	TRIM25	1819276
ENSG00000177225	GATD1	1818780
ENSG00000070761	CFAP20	1818500
ENSG00000105245	NUMBL	1817946
ENSG00000161791	FMNL3	1817635
ENSG00000121104	FAM117A	1817623
ENSG00000161381	PLXDC1	1817610
ENSG00000160072	ATAD3B	1817602
ENSG00000162972	MAIP1	1817591
ENSG00000123560	PLP1	1817346
ENSG00000076201	PTPN23	1816878
ENSG00000105854	PON2	1816410
ENSG00000169752	NRG4	1816410
ENSG00000186222	BLOC1S4	1815979
ENSG00000116954	RRAGC	1815889
ENSG00000258986	TMEM179	1815330
ENSG00000182866	LCK	1814416
ENSG00000172380	GNG12	1813565
ENSG00000176105	YES1	1813134
ENSG00000171451	DSEL	1812985
ENSG00000213123	DYNLT2B	1812928
ENSG00000184470	TXNRD2	1812468
ENSG00000151498	ACAD8	1812319
ENSG00000154065	ANKRD29	1811853
ENSG00000137274	BPHL	1811640
ENSG00000122783	CYREN	1811398
ENSG00000120685	PROSER1	1809725
ENSG00000105516	DBP	1809713
ENSG00000184281	TSSC4	1808651
ENSG00000173442	EHBP1L1	1808258
ENSG00000163807	KIAA1143	1807747
ENSG00000146842	TMEM209	1807447
ENSG00000149575	SCN2B	1807429
ENSG00000121578	B4GALT4	1806857
ENSG00000130244	FAM98C	1806408
ENSG00000186352	ANKRD37	1806143
ENSG00000152990	ADGRA3	1805692
ENSG00000147100	SLC16A2	1805657
ENSG00000146006	LRRTM2	1805450
ENSG00000139044	B4GALNT3	1804819
ENSG00000132313	MRPL35	1804674
ENSG00000116016	EPAS1	1804047
ENSG00000101343	CRNKL1	1803552
ENSG00000114554	PLXNA1	1803129
ENSG00000187902	SHISA7	1802474
ENSG00000162419	GMEB1	1802373
ENSG00000227057	WDR46	1802365
ENSG00000196923	PDLIM7	1801872
ENSG00000105671	DDX49	1801634
ENSG00000108666	C17orf75	1801513
ENSG00000160326	SLC2A6	1801378
ENSG00000038427	VCAN	1801069
ENSG00000178075	GRAMD1C	1800804
ENSG00000197124	ZNF682	1800173
ENSG00000151576	QTRT2	1800130
ENSG00000122512	PMS2	1799499
ENSG00000167363	FN3K	1799154
ENSG00000170322	NFRKB	1798820
ENSG00000167985	SDHAF2	1798303
ENSG00000198131	ZNF544	1797878
ENSG00000108176	DNAJC12	1797231
ENSG00000167645	YIF1B	1796730
ENSG00000223802	CERS1	1796509
ENSG00000285053	ENSG00000285053.1	1796262
ENSG00000162641	AKNAD1	1795628
ENSG00000165389	SPTSSA	1795616
ENSG00000152078	TLCD4	1795481
ENSG00000139679	LPAR6	1795124
ENSG00000091732	ZC3HC1	1794898
ENSG00000158158	CNNM4	1794824
ENSG00000101363	MANBAL	1794501
ENSG00000100003	SEC14L2	1794425
ENSG00000117791	MTARC2	1793784
ENSG00000122694	GLIPR2	1793248
ENSG00000168872	DDX19A	1792510
ENSG00000130347	RTN4IP1	1792286
ENSG00000111145	ELK3	1792142
ENSG00000162714	ZNF496	1791564
ENSG00000179240	GVQW3	1791343
ENSG00000186660	ZFP91	1791228
ENSG00000197852	INKA2	1791155
ENSG00000117461	PIK3R3	1791101
ENSG00000164105	SAP30	1791009
ENSG00000179144	GIMAP7	1790797
ENSG00000115041	KCNIP3	1790381
ENSG00000005844	ITGAL	1790243
ENSG00000118308	IRAG2	1789830
ENSG00000215018	COL28A1	1789149
ENSG00000135838	NPL	1788846
ENSG00000178665	ZNF713	1787659
ENSG00000244187	TMEM141	1786971
ENSG00000013288	MAN2B2	1786849
ENSG00000254004	ZNF260	1786814
ENSG00000136273	HUS1	1786722
ENSG00000183474	GTF2H2C	1786627
ENSG00000167186	COQ7	1786125
ENSG00000154832	CXXC1	1785955
ENSG00000148218	ALAD	1784798
ENSG00000170959	DCDC1	1784751
ENSG00000114491	UMPS	1783565
ENSG00000105287	PRKD2	1782406
ENSG00000249209	ENSG00000249209.2	1782218
ENSG00000196187	TMEM63A	1781401
ENSG00000157601	MX1	1780914
ENSG00000007520	TSR3	1780675
ENSG00000158863	FHIP2B	1779736
ENSG00000135929	CYP27A1	1779678
ENSG00000123411	IKZF4	1778297
ENSG00000068097	HEATR6	1778292
ENSG00000109794	FAM149A	1778121
ENSG00000147655	RSPO2	1777770
ENSG00000100410	PHF5A	1777465
ENSG00000130005	GAMT	1777325
ENSG00000104154	SLC30A4	1777120
ENSG00000131459	GFPT2	1776904
ENSG00000136997	MYC	1776053
ENSG00000136161	RCBTB2	1775944
ENSG00000174243	DDX23	1775584
ENSG00000178852	EFCAB13	1775561
ENSG00000112245	PTP4A1	1775463
ENSG00000097046	CDC7	1775090
ENSG00000064545	TMEM161A	1775039
ENSG00000145979	TBC1D7	1774833
ENSG00000168283	BMI1	1774623
ENSG00000128578	STRIP2	1774503
ENSG00000136816	TOR1B	1774327
ENSG00000108604	SMARCD2	1774246
ENSG00000112218	GPR63	1773765
ENSG00000144736	SHQ1	1773118
ENSG00000158106	RHPN1	1772413
ENSG00000100522	GNPNAT1	1771667
ENSG00000103168	TAF1C	1771432
ENSG00000185000	DGAT1	1771336
ENSG00000165548	TMEM63C	1771318
ENSG00000213658	LAT	1771046
ENSG00000179361	ARID3B	1770884
ENSG00000132254	ARFIP2	1769680
ENSG00000167637	ZNF283	1768679
ENSG00000166478	ZNF143	1768583
ENSG00000110090	CPT1A	1767916
ENSG00000166452	AKIP1	1767592
ENSG00000198728	LDB1	1767132
ENSG00000196074	SYCP2	1766701
ENSG00000170854	RIOX2	1766650
ENSG00000006744	ELAC2	1766622
ENSG00000115461	IGFBP5	1765599
ENSG00000066322	ELOVL1	1765030
ENSG00000178381	ZFAND2A	1764466
ENSG00000141668	CBLN2	1764301
ENSG00000172375	C2CD2L	1764123
ENSG00000111679	PTPN6	1763942
ENSG00000174428	GTF2IRD2B	1763576
ENSG00000079432	CIC	1763398
ENSG00000128626	MRPS12	1762493
