gene_id	gene_name	number_of_cells_expressed
ENSG00000117020	AKT3	7555178
ENSG00000147677	EIF3H	7553554
ENSG00000138071	ACTR2	7551996
ENSG00000168137	SETD5	7550135
ENSG00000196199	MPHOSPH8	7540402
ENSG00000114331	ACAP2	7538853
ENSG00000103657	HERC1	7535442
ENSG00000090863	GLG1	7521367
ENSG00000156052	GNAQ	7507356
ENSG00000075415	SLC25A3	7502257
ENSG00000197728	RPS26	7500177
ENSG00000109180	OCIAD1	7497417
ENSG00000048649	RSF1	7493716
ENSG00000151150	ANK3	7493563
ENSG00000140262	TCF12	7486296
ENSG00000054523	KIF1B	7483447
ENSG00000145687	SSBP2	7480011
ENSG00000169398	PTK2	7470572
ENSG00000118058	KMT2A	7469894
ENSG00000116209	TMEM59	7468734
ENSG00000090060	PAPOLA	7460358
ENSG00000163399	ATP1A1	7458029
ENSG00000167552	TUBA1A	7455162
ENSG00000121741	ZMYM2	7444646
ENSG00000091039	OSBPL8	7443515
ENSG00000123636	BAZ2B	7441206
ENSG00000065883	CDK13	7435423
ENSG00000135541	AHI1	7434347
ENSG00000118007	STAG1	7433651
ENSG00000148700	ADD3	7431594
ENSG00000185658	BRWD1	7424215
ENSG00000089737	DDX24	7423828
ENSG00000132670	PTPRA	7414586
ENSG00000102908	NFAT5	7380857
ENSG00000129636	ITFG1	7373571
ENSG00000078304	PPP2R5C	7366803
ENSG00000052841	TTC17	7365489
ENSG00000070961	ATP2B1	7364238
ENSG00000115524	SF3B1	7349710
ENSG00000178982	EIF3K	7341790
ENSG00000196712	NF1	7339198
ENSG00000008294	SPAG9	7334565
ENSG00000113448	PDE4D	7333336
ENSG00000102804	TSC22D1	7328374
ENSG00000075413	MARK3	7326696
ENSG00000112531	QKI	7321779
ENSG00000104852	SNRNP70	7319958
ENSG00000072364	AFF4	7318114
ENSG00000113391	FAM172A	7316621
ENSG00000174373	RALGAPA1	7316495
ENSG00000009413	REV3L	7315746
ENSG00000164327	RICTOR	7315396
ENSG00000138668	HNRNPD	7314534
ENSG00000167468	GPX4	7314526
ENSG00000067900	ROCK1	7314267
ENSG00000179912	R3HDM2	7309875
ENSG00000055917	PUM2	7309201
ENSG00000108953	YWHAE	7306995
ENSG00000136238	RAC1	7297083
ENSG00000133812	SBF2	7296493
ENSG00000156110	ADK	7292539
ENSG00000134744	TUT4	7289240
ENSG00000074800	ENO1	7288395
ENSG00000147905	ZCCHC7	7282907
ENSG00000033800	PIAS1	7278166
ENSG00000010810	FYN	7274176
ENSG00000075711	DLG1	7271023
ENSG00000143774	GUK1	7268645
ENSG00000068305	MEF2A	7268527
ENSG00000150672	DLG2	7268134
ENSG00000075539	FRYL	7267433
ENSG00000127314	RAP1B	7265037
ENSG00000198589	LRBA	7247987
ENSG00000104517	UBR5	7247333
ENSG00000157764	BRAF	7243332
ENSG00000166233	ARIH1	7242525
ENSG00000198918	RPL39	7236586
ENSG00000143761	ARF1	7228492
ENSG00000118418	HMGN3	7227590
ENSG00000197102	DYNC1H1	7223837
ENSG00000082805	ERC1	7208165
ENSG00000139746	RBM26	7207846
ENSG00000071054	MAP4K4	7206422
ENSG00000113580	NR3C1	7200900
ENSG00000164830	OXR1	7195788
ENSG00000029363	BCLAF1	7193269
ENSG00000114062	UBE3A	7190371
ENSG00000080503	SMARCA2	7188343
ENSG00000142168	SOD1	7185363
ENSG00000178980	SELENOW	7182175
ENSG00000136527	TRA2B	7172577
ENSG00000165502	RPL36AL	7172035
ENSG00000265681	RPL17	7164003
ENSG00000084234	APLP2	7163136
ENSG00000062716	VMP1	7162993
ENSG00000088986	DYNLL1	7159392
ENSG00000110075	PPP6R3	7152266
ENSG00000053254	FOXN3	7151618
ENSG00000149311	ATM	7142469
ENSG00000135486	HNRNPA1	7139787
ENSG00000106443	PHF14	7134864
ENSG00000113269	RNF130	7130660
ENSG00000074054	CLASP1	7128838
ENSG00000082701	GSK3B	7127897
ENSG00000145743	FBXL17	7122853
ENSG00000166848	TERF2IP	7121499
ENSG00000161011	SQSTM1	7118188
ENSG00000118482	PHF3	7108504
ENSG00000143420	ENSA	7106903
ENSG00000138398	PPIG	7105508
ENSG00000138688	BLTP1	7097651
ENSG00000163714	U2SURP	7086405
ENSG00000181555	SETD2	7085812
ENSG00000149187	CELF1	7081508
ENSG00000182247	UBE2E2	7080371
ENSG00000087274	ADD1	7079774
ENSG00000187391	MAGI2	7079660
ENSG00000109920	FNBP4	7077455
ENSG00000099783	HNRNPM	7075194
ENSG00000145495	MARCHF6	7063999
ENSG00000065243	PKN2	7063454
ENSG00000144357	UBR3	7061474
ENSG00000157985	AGAP1	7051629
ENSG00000108100	CCNY	7043030
ENSG00000110321	EIF4G2	7040885
ENSG00000166598	HSP90B1	7036737
ENSG00000134308	YWHAQ	7034552
ENSG00000171862	PTEN	7032793
ENSG00000197694	SPTAN1	7029019
ENSG00000139793	MBNL2	7028293
ENSG00000144746	ARL6IP5	7027356
ENSG00000173120	KDM2A	7026556
ENSG00000170242	USP47	7025820
ENSG00000140386	SCAPER	7020043
ENSG00000132549	VPS13B	7016747
ENSG00000196628	TCF4	7015183
ENSG00000169714	CNBP	7009850
ENSG00000126267	COX6B1	7008259
ENSG00000142875	PRKACB	7007263
ENSG00000078140	UBE2K	7004984
ENSG00000145362	ANK2	7002888
ENSG00000143198	MGST3	7000557
ENSG00000152520	PAN3	6998036
ENSG00000144036	EXOC6B	6997511
ENSG00000099204	ABLIM1	6997448
ENSG00000061987	MON2	6993435
ENSG00000163660	CCNL1	6991210
ENSG00000204842	ATXN2	6973498
ENSG00000136888	ATP6V1G1	6973283
ENSG00000107223	EDF1	6971785
ENSG00000134644	PUM1	6971447
ENSG00000135940	COX5B	6969722
ENSG00000107771	CCSER2	6968913
ENSG00000143776	CDC42BPA	6966762
ENSG00000186153	WWOX	6947419
ENSG00000173726	TOMM20	6944092
ENSG00000123106	CCDC91	6942520
ENSG00000166012	TAF1D	6942021
ENSG00000141376	BCAS3	6936808
ENSG00000115355	CCDC88A	6935585
ENSG00000257103	LSM14A	6930532
ENSG00000107077	KDM4C	6921733
ENSG00000104964	TLE5	6920071
ENSG00000111669	TPI1	6919647
ENSG00000185420	SMYD3	6918358
ENSG00000175161	CADM2	6918107
ENSG00000153827	TRIP12	6917120
ENSG00000198900	TOP1	6912247
ENSG00000148634	HERC4	6911061
ENSG00000125868	DSTN	6907019
ENSG00000174485	DENND4A	6903651
ENSG00000166326	TRIM44	6903302
ENSG00000143669	LYST	6899348
ENSG00000054118	THRAP3	6888486
ENSG00000157540	DYRK1A	6883372
ENSG00000168214	RBPJ	6882165
ENSG00000140396	NCOA2	6876436
ENSG00000063046	EIF4B	6875629
ENSG00000186591	UBE2H	6871694
ENSG00000145675	PIK3R1	6869348
ENSG00000141627	DYM	6867298
ENSG00000125534	PPDPF	6863008
ENSG00000093167	LRRFIP2	6861627
ENSG00000160551	TAOK1	6859934
ENSG00000111596	CNOT2	6857699
ENSG00000147274	RBMX	6854562
ENSG00000023287	RB1CC1	6852805
ENSG00000112695	COX7A2	6851370
ENSG00000163848	ZNF148	6848340
ENSG00000108518	PFN1	6844320
ENSG00000082996	RNF13	6841802
ENSG00000118680	MYL12B	6838462
ENSG00000092148	HECTD1	6836433
ENSG00000198399	ITSN2	6832200
ENSG00000257923	CUX1	6831407
ENSG00000138081	FBXO11	6828390
ENSG00000100380	ST13	6824508
ENSG00000137776	SLTM	6824212
ENSG00000163041	H3-3A	6819426
ENSG00000116473	RAP1A	6817464
ENSG00000197956	S100A6	6812542
ENSG00000056097	ZFR	6810559
ENSG00000263001	GTF2I	6807949
ENSG00000145012	LPP	6804311
ENSG00000047849	MAP4	6797893
ENSG00000121892	PDS5A	6796327
ENSG00000150347	ARID5B	6795783
ENSG00000134480	CCNH	6784508
ENSG00000143442	POGZ	6783419
ENSG00000114439	BBX	6778898
ENSG00000130638	ATXN10	6778179
ENSG00000078403	MLLT10	6773802
ENSG00000114942	EEF1B2	6770147
ENSG00000018189	RUFY3	6769773
ENSG00000092964	DPYSL2	6768505
ENSG00000100664	EIF5	6765750
ENSG00000145349	CAMK2D	6762982
ENSG00000182985	CADM1	6762268
ENSG00000140718	FTO	6761755
ENSG00000197555	SIPA1L1	6759978
ENSG00000198382	UVRAG	6758801
ENSG00000170634	ACYP2	6758174
ENSG00000038382	TRIO	6757879
ENSG00000197157	SND1	6756377
ENSG00000198961	PJA2	6746193
ENSG00000066933	MYO9A	6744448
ENSG00000184903	IMMP2L	6742813
ENSG00000153944	MSI2	6741573
ENSG00000135837	CEP350	6740855
ENSG00000122482	ZNF644	6738678
ENSG00000102531	FNDC3A	6738203
ENSG00000161547	SRSF2	6731036
ENSG00000066777	ARFGEF1	6730171
ENSG00000196233	LCOR	6727623
ENSG00000167004	PDIA3	6727503
ENSG00000103769	RAB11A	6725418
ENSG00000168300	PCMTD1	6723351
ENSG00000134851	TMEM165	6722059
ENSG00000146278	PNRC1	6720870
ENSG00000107863	ARHGAP21	6716219
ENSG00000158985	CDC42SE2	6715540
ENSG00000124614	RPS10	6714595
ENSG00000165671	NSD1	6714593
ENSG00000156475	PPP2R2B	6712784
ENSG00000008083	JARID2	6708654
ENSG00000066084	DIP2B	6705552
ENSG00000111897	SERINC1	6703381
ENSG00000114127	XRN1	6702889
ENSG00000168216	LMBRD1	6702318
ENSG00000113742	CPEB4	6696601
ENSG00000206503	HLA-A	6692758
ENSG00000135968	GCC2	6691342
ENSG00000164808	SPIDR	6685193
ENSG00000175582	RAB6A	6678090
ENSG00000169554	ZEB2	6676186
ENSG00000109381	ELF2	6674695
ENSG00000163625	WDFY3	6669669
ENSG00000188243	COMMD6	6669271
ENSG00000168036	CTNNB1	6665563
ENSG00000121774	KHDRBS1	6664793
ENSG00000024048	UBR2	6659135
ENSG00000114416	FXR1	6659058
ENSG00000138430	OLA1	6657906
ENSG00000112739	PRPF4B	6652958
ENSG00000129625	REEP5	6648637
ENSG00000130449	ZSWIM6	6648051
ENSG00000138069	RAB1A	6646397
ENSG00000173273	TNKS	6639954
ENSG00000141367	CLTC	6636130
ENSG00000143207	COP1	6632043
ENSG00000084733	RAB10	6619846
ENSG00000124177	CHD6	6618905
ENSG00000141279	NPEPPS	6618560
ENSG00000143153	ATP1B1	6617879
ENSG00000102910	LONP2	6612254
ENSG00000270647	TAF15	6610979
ENSG00000120727	PAIP2	6608854
ENSG00000147526	TACC1	6592814
ENSG00000102144	PGK1	6587221
ENSG00000204525	HLA-C	6584482
ENSG00000115904	SOS1	6583578
ENSG00000112335	SNX3	6581663
ENSG00000052126	PLEKHA5	6569040
ENSG00000198625	MDM4	6568057
ENSG00000153317	ASAP1	6566524
ENSG00000180357	ZNF609	6565956
ENSG00000012983	MAP4K5	6564363
ENSG00000127022	CANX	6560493
ENSG00000100731	PCNX1	6558922
ENSG00000164985	PSIP1	6557743
ENSG00000173889	PHC3	6557516
ENSG00000001629	ANKIB1	6555397
ENSG00000151276	MAGI1	6550264
ENSG00000134313	KIDINS220	6546970
ENSG00000107341	UBE2R2	6545711
ENSG00000105993	DNAJB6	6545631
ENSG00000078687	TNRC6C	6544250
ENSG00000110367	DDX6	6543925
ENSG00000115091	ACTR3	6535947
ENSG00000088179	PTPN4	6534292
ENSG00000111716	LDHB	6533403
ENSG00000103363	ELOB	6529220
ENSG00000165525	NEMF	6529219
ENSG00000145819	ARHGAP26	6525566
ENSG00000140575	IQGAP1	6525031
ENSG00000151532	VTI1A	6520393
ENSG00000112081	SRSF3	6518267
ENSG00000156831	NSMCE2	6517796
ENSG00000184226	PCDH9	6516601
ENSG00000135049	AGTPBP1	6516251
ENSG00000172915	NBEA	6515817
ENSG00000145996	CDKAL1	6510711
ENSG00000137845	ADAM10	6506048
ENSG00000234745	HLA-B	6505960
ENSG00000104067	TJP1	6505678
ENSG00000241343	RPL36A	6505592
ENSG00000106554	CHCHD3	6504058
ENSG00000153707	PTPRD	6503422
ENSG00000198586	TLK1	6501167
ENSG00000255302	EID1	6500670
ENSG00000154310	TNIK	6497831
ENSG00000078618	NRDC	6497828
ENSG00000183049	CAMK1D	6497587
ENSG00000135525	MAP7	6494089
ENSG00000156650	KAT6B	6490601
ENSG00000131711	MAP1B	6488789
ENSG00000140443	IGF1R	6487207
ENSG00000010404	IDS	6486527
ENSG00000170776	AKAP13	6484173
ENSG00000109670	FBXW7	6482476
ENSG00000117335	CD46	6481159
ENSG00000198265	HELZ	6480789
ENSG00000173230	GOLGB1	6479118
ENSG00000155903	RASA2	6478802
ENSG00000215301	DDX3X	6477359
ENSG00000064042	LIMCH1	6476485
ENSG00000120963	ZNF706	6474883
ENSG00000185565	LSAMP	6472219
ENSG00000123562	MORF4L2	6470305
ENSG00000166501	PRKCB	6467923
ENSG00000154001	PPP2R5E	6467843
ENSG00000112851	ERBIN	6464173
ENSG00000169020	ATP5ME	6460375
ENSG00000253729	PRKDC	6454789
ENSG00000116350	SRSF4	6453487
ENSG00000173064	HECTD4	6449039
ENSG00000158019	BABAM2	6447400
ENSG00000119335	SET	6447082
ENSG00000138698	RAP1GDS1	6444903
ENSG00000184588	PDE4B	6444891
ENSG00000160014	CALM3	6444696
ENSG00000082898	XPO1	6444462
ENSG00000157106	SMG1	6443051
ENSG00000166974	MAPRE2	6442290
ENSG00000077254	USP33	6442165
ENSG00000197535	MYO5A	6442142
ENSG00000196586	MYO6	6437326
ENSG00000136758	YME1L1	6430391
ENSG00000189283	FHIT	6430126
ENSG00000118689	FOXO3	6429622
ENSG00000101182	PSMA7	6429255
ENSG00000168675	LDLRAD4	6427144
ENSG00000163728	TTC14	6426512
ENSG00000198947	DMD	6425940
ENSG00000110955	ATP5F1B	6421705
ENSG00000165487	MICU2	6418587
ENSG00000102606	ARHGEF7	6417444
ENSG00000135365	PHF21A	6416925
ENSG00000111912	NCOA7	6415669
ENSG00000147162	OGT	6414872
ENSG00000172260	NEGR1	6413939
ENSG00000180628	PCGF5	6413182
ENSG00000188529	SRSF10	6410122
ENSG00000173915	ATP5MK	6405877
ENSG00000183826	BTBD9	6405606
ENSG00000121390	PSPC1	6403180
ENSG00000126070	AGO3	6402506
ENSG00000036257	CUL3	6401366
ENSG00000149294	NCAM1	6401325
ENSG00000104765	BNIP3L	6400611
ENSG00000113732	ATP6V0E1	6400391
ENSG00000145715	RASA1	6399632
ENSG00000108424	KPNB1	6399365
ENSG00000171867	PRNP	6397669
ENSG00000151422	FER	6396952
ENSG00000127922	SEM1	6393697
ENSG00000142864	SERBP1	6390044
ENSG00000168610	STAT3	6388065
ENSG00000157827	FMNL2	6387482
ENSG00000048991	R3HDM1	6387138
ENSG00000206560	ANKRD28	6385246
ENSG00000168172	HOOK3	6381084
ENSG00000122705	CLTA	6376452
ENSG00000101654	RNMT	6375839
ENSG00000143190	POU2F1	6373972
